Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
-0.27876,-0.3004,-0.4255,-0.84308,-0.97863,-1.6726,-1.6525,-1.7706,-0.78431,-0.48824,0.18263,3.088,0.43165,-0.34596
1.7641,1.3216,1.6869,2.0489,2.3277,1.6782,0.17112,-0.87353,-0.37243,-0.55147,-2.88,0.76103,-2.3448,0.47968
0.01947,-0.27043,0.44255,0.33631,0.67393,-0.16704,0.8323,0.76179,0.11236,0.24765,0.32794,-1.4812,-4.3334,-0.020484
0.3582,-0.087689,0.61816,0.40349,0.045226,-0.085844,-1.2476,-0.682,-0.83058,-0.42315,0.42398,4.9481,-0.81485,-0.14737
0.58996,0.40782,1.3909,0.65559,0.56692,0.3486,-0.62619,-0.87054,-1.3651,-0.25643,0.39502,-0.22721,-0.55998,-0.1286
-0.14936,-0.65562,-0.51737,-0.49815,-0.44862,-0.28941,-1.3493,-0.4722,-0.41951,-0.14008,1.0817,-0.79281,-1.4917,-0.68452
-1.0478,-1.0122,-1.3346,-0.36959,-0.29246,-0.34295,-1.7042,-1.5364,-0.82305,-0.06248,1.8813,4.9834,-3.7595,-0.55991
-0.067885,-0.80874,-0.45231,0.34308,0.074523,0.65251,-0.076339,-0.0026111,0.14093,0.19861,-0.33071,-0.59678,4.8389,0
1.4536,1.1068,0.4694,0.44049,-0.65324,-1.2325,-0.78933,-1.0454,-1.2151,-0.36667,-0.022056,0.1247,-1.1374,-0.13543
-0.1338,0.37947,0.16765,0.10595,-0.99257,-1.3148,-1.3163,-1.293,-0.86062,-0.72082,1.2954,3.325,2.2252,-0.18095
-1.1188,-0.20824,-0.52265,0.21151,1.1329,1.2968,0.70369,0.098121,0.18706,-0.036753,0.031223,1.6757,3.1675,0.027313
-0.29,-0.42103,-0.15171,-0.48227,-1.2395,-0.35287,0.80145,1.0887,0.51263,-0.80294,-0.59505,1.5409,-0.35872,-0.010811
-0.34505,-0.50247,-0.33877,-0.32801,0.31465,0.53828,0.3722,0.41761,-0.35522,-0.40562,-0.27758,-0.85204,5.6405,-0.015363
1.5052,1.9862,1.6257,0.81283,-0.78831,-1.1778,-0.35581,0.18948,0.28472,0.045121,0.1221,1.0146,1.8938,0.32548
0.78106,1.3088,1.6425,1.6788,1.9357,1.5347,0.56545,-0.29387,0.19388,-0.213,1.6157,0.91504,4.1405,-0.53317
-0.30497,-1.4692,-1.721,-1.3344,-1.6174,-0.949,0.98514,1.1352,0.63918,0.37587,-0.17178,-1.3125,-1.9799,-0.0096732
-0.34864,-0.69208,0.056685,-0.55755,-0.75811,-0.036048,0.42855,0.37404,0.81142,-0.25508,-1.1071,0.24283,2.4599,0.022761
-0.77461,0.13333,-0.63768,-0.63549,-1.5651,-0.71119,0.28578,0.95663,0.083176,-0.42593,-0.39762,-0.7654,-0.66119,0.0022761
-0.94724,-0.71178,-0.55748,-1.5104,-2.2946,-2.525,-2.4103,-1.0776,0.039586,-0.5588,1.7935,-0.023269,0.82452,-0.29703
1.8659,1.9697,2.778,2.5897,2.5018,2.406,1.1983,0.4307,-0.83599,-0.25449,-3.4094,-2.588,-5.3348,1
1.2262,0.31494,0.84966,0.97483,0.85247,0.72928,-0.31957,-0.033901,-0.17273,-0.84651,-0.38052,-0.26412,-0.29909,0.10072
0.5381,-0.26742,-0.40071,-1.0296,-0.6267,-0.33938,-0.79268,-1.2979,-1.1765,-0.363,1.4987,5.4602,2.3587,-1.2143
