Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
-0.24657,1.1784,-0.52792,-0.14033,-1.6712,-0.65957,1.0717,3.7022,2.9201,2.3578,-0.41708,1.1756,3.6553,0.36108
0.31695,0.73165,0.33925,0.83388,1.0883,1.0939,-0.60215,-1.3975,-1.7781,-0.95721,-1.7222,-4.1709,-2.134,-0.32747
0.66591,-0.51942,-0.21492,-0.51723,-0.0089244,0.13941,0.24717,-0.58984,-0.38843,-0.48011,-1.0127,4.617,-2.4493,0.038639
0.9673,-0.76244,-0.16473,-0.10441,0.66627,0.14941,-0.53121,-0.7331,-0.30258,-0.47955,-1.2544,-4.5493,-1.1361,-0.081621
-0.98796,-0.99759,-1.2964,-2.6595,-3.4752,-3.1632,-2.8488,-0.16717,-0.64784,0.10003,2.1807,-1.3021,0.20279,0.99308
-0.87602,-1.0687,-0.17548,-0.39863,-0.54065,-0.24984,0.56679,1.7116,0.66726,0.17942,0.40437,-2.8503,-3.6994,0
0.025625,-0.30528,-0.40265,0.81332,0.2071,1.0367,0.73045,1.0817,0.86923,0.87765,-0.68064,-2.7913,-0.016033,-0.19722
0.43253,0.068139,-0.8869,-0.70169,-0.31885,-0.70343,-1.0536,-1.0897,-1.1821,-1.2744,0.77648,2.6502,0.73225,0.073541
-0.60275,-0.77062,-1.0447,-1.263,-1.9131,-1.2164,0.18508,0.8566,0.21544,0.17964,0.9998,2.0872,-1.9566,0.025588
0.4302,1.7317,2.1279,0.53051,-0.81146,-1.1872,-1.6867,-1.208,-0.92551,-0.93337,0.76993,2.8004,2.4902,-0.14916
0.4389,2.0731,1.7206,0.42547,-0.96626,-1.7701,-1.9073,-1.2388,-1.9242,-0.65062,1.2838,-0.19166,-2.1687,-0.25864
0.69059,0.46311,0.55946,1.051,0.66207,0.70191,-0.23429,-0.73754,-1.1756,-0.93094,-1.4234,-0.15891,-1.0814,-0.24585
-1.5382,-0.33976,-0.61525,-1.5777,-2.4573,-2.0794,-1.7605,-1.1463,-1.1498,-0.09023,1.6833,1.7207,0.21345,1
-1.8144,-1.9528,-1.6912,-1.1827,-0.24439,-0.2792,-0.60038,-1.1692,-1.741,-0.40764,1.5533,1.6784,-4.4445,0.10392
0.097082,-0.83375,-1.1667,0.041969,-0.043256,0.55988,0.081542,-0.10894,1.0991,0.34997,-0.66146,0.45332,-1.9394,0.14485
-0.26762,-0.07716,0.70507,0.84717,0.66319,0.82223,2.1291,2.1602,2.5721,2.8339,-1.2267,-3.5233,-0.046345,0.13281
-0.21675,-0.5953,-0.61197,-0.10773,0.055989,0.25806,0.44214,1.3004,0.10273,0.40421,-0.38613,-0.098329,-0.14497,-0.071899
-0.74156,-0.21879,-0.76339,-0.45197,-1.1762,-0.64751,0.41438,-0.58986,0.020741,-0.52911,-0.30799,-0.41743,0.39725,0.39446
0.54988,0.45941,0.16829,1.0627,1.6514,1.4734,1.4163,0.56072,0.17948,0.32085,0.71602,1.85,4.5312,0.061087
-0.081651,-1.2435,-1.1346,-0.76053,-0.97278,-0.15572,0.25674,0.13162,-0.74737,-0.28034,1.1219,2.4657,-2.9816,-0.0053479
-0.95668,1.3216,1.0712,0.33709,-0.59798,-1.5121,-0.38436,0.93223,0.69037,0.061343,0.92723,0.63771,-3.5484,0.40027
0.42422,0.21196,0.6527,1.4443,0.71485,0.56369,0.83878,0.1779,0.2911,-0.67809,-1.5465,-1.0901,-2.0189,0.35582
0.37977,0.37333,0.64712,-0.36329,-1.8759,-2.3603,-2.5297,-2.1036,-1.2363,-1.2872,1.1398,0.37019,-1.6543,0.10887
-0.55341,0.28715,-1.2996,-0.92829,-0.73473,-1.0846,-1.5684,-0.75118,-0.26547,-0.35762,1.3179,-0.63421,0.2816,0
-0.076992,-1.3007,-1.1932,-0.8584,-0.46102,0.23088,0.14642,1.4956,0.42933,0.085163,-0.81652,-0.78131,1.0184,-0.10997
-0.83427,-0.70554,-0.2486,-0.1103,0.82541,0.9704,0.088844,0.15901,1.2948,1.2107,-0.68193,0.040928,3.0345,0.076856
-0.94835,-1.4658,-1.8835,-1.966,-0.833,0.087412,-0.34971,-0.057681,-0.16973,0.095609,1.0445,1.0451,-3.787,0.42865
-1.759,-0.95724,-0.34266,-1.0091,-0.70887,-0.85816,1.6761,2.058,2.977,4.0272,0.065131,2.1278,-2.8301,-0.28634
-1.1973,-1.0741,0.051976,0.29752,0.51028,0.60272,1.0739,0.71111,1.9023,2.5482,-1.4125,2.084,1.8682,0.11703
0.011888,-1.0737,-0.83776,-0.27228,0.50602,0.7538,0.24097,-0.074098,-0.23778,-0.19426,-0.24309,-1.3788,2.6185,-0.039144
1.1358,0.95114,1.2894,0.54241,0.78793,0.32198,-0.23458,-0.39591,-0.48365,-0.33884,-1.3008,-0.62145,-4.1265,0.21782
-1.5678,-0.81069,-0.47756,-0.52948,0.43633,0.62474,0.054492,0.11612,1.1533,0.86257,0.259,2.584,0.38722,-0.083607
0.56286,-0.22218,0.14661,0.29946,0.75232,0.29846,-0.61342,-1.2096,-1.2748,-0.71811,-1.014,0.86688,-3.6215,-0.084426
