Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
-0.76246,-0.096223,0.16691,0.34904,0.73483,0.90773,0.54571,-0.1457,0.37356,-0.37583,-0.31095,1.2673,-0.43951,0.4664
1.6624,1.9939,0.8666,-0.88156,-0.54187,-0.99914,-2.0104,-0.58898,-0.49107,-0.38571,1.5347,5.2279,3.576,0.58134
-1.1757,-0.58582,0.064054,0.32746,-0.92065,-1.0367,0.8481,2.0415,1.0745,0.52535,0.77296,-1.2455,2.2431,-0.13109
0.55718,0.56738,0.76257,0.72721,-0.041143,0.13372,-0.076367,0.35772,-0.21715,-0.17086,-0.83299,0.54176,-1.3661,0.13536
-0.36317,-0.66092,-0.62126,-0.88005,0.63006,0.82564,0.7577,0.19672,0.89652,-0.35734,0.16238,0.51371,-3.4803,-0.50077
-0.75842,0.053307,-0.67817,-0.59978,-0.35909,-0.33165,0.9559,1.4208,1.4024,0.22753,0.98478,1.2138,3.1228,0
-0.24014,-0.68598,-0.5802,-0.30689,-0.045183,0.38845,0.98447,1.3627,0.58131,0.21663,0.13314,1.5961,-1.0236,0.053957
0.37871,-0.47769,-0.2441,-0.031227,-0.10978,0.49338,0.56214,0.052176,0.023587,0.21054,-0.56961,1.0017,2.6992,0.25312
0.62778,1.4398,0.46674,0.49214,-0.71788,-1.3973,-0.56709,0.82242,1.0354,-0.49101,0.93673,2.7296,0.90853,0.79553
0.86683,0.35806,0.36517,0.46419,1.2462,0.65042,0.67398,0.97721,0.023496,-0.80447,0.40164,0.89991,-1.5644,-0.06767
-0.23672,-0.78785,-1.4897,-1.4288,-0.81149,-0.63063,-0.06367,-0.49735,-0.033906,-0.79363,1.4437,4.8762,-0.42017,-0.06767
-0.83301,-0.055521,-0.47804,0.083934,0.28213,0.47482,0.067566,0.48836,-0.77305,-0.13305,-0.15093,0.88757,2.273,0.051752
-0.28341,-0.9357,-0.38986,-0.26093,-0.27345,-0.055901,0.36635,0.44744,-0.40726,-0.21789,0.074573,1.7495,-3.9858,-0.058059
-1.5715,-1.8941,-1.3473,-0.90553,-0.50086,0.48342,0.56561,0.15726,1.0055,1.4584,0.98507,3.072,-3.761,-0.17866
-0.8986,-1.0172,-0.80672,-0.36716,0.23609,0.80043,0.74648,2.094,0.82143,0.24746,-0.38347,1.0514,1.3446,0.3851
-1.2504,-0.64771,0.018482,0.84898,0.29764,0.079233,0.79481,0.11542,0.19682,0.76974,0.6248,-0.47688,-0.81335,-0.17866
-2.4099,-2.5341,-1.5568,-1.6001,-1.6809,-1.6936,0.095409,0.8107,1.3963,3.4714,0.2482,-1.4208,-3.6604,0.21537
0.26024,0.54775,0.16954,0.64825,0.40712,0.29376,0.21117,-0.49552,0.50013,-0.48335,-0.88992,0.67294,0.05408,0.3954
0.37891,-0.54541,-1.4374,-1.4775,-0.72285,-0.52039,-0.35872,-0.62221,-0.41061,-1.039,0.58693,-1.4179,-4.7274,-0.19232
-1.0804,-1.4289,-1.2751,-1.1077,-1.4225,-1.7926,-1.0004,1.1312,0.88509,0.20119,0.85856,-0.71151,-2.0097,0
1.1385,0.093064,-0.56419,0.41993,0.21005,0.23322,0.45426,0.61341,0.073851,-0.029812,-0.93744,-0.54612,-3.7912,0.13536
1.3936,1.2388,0.1362,0.38627,-0.38237,-0.30366,-1.1856,-1.0537,-1.5109,-0.94007,0.41383,1.25,3.7042,0.20536
-0.74857,0.61109,-0.29456,-0.61422,-1.4695,-1.645,-0.91743,0.43795,0.020388,-0.25684,0.19165,-2.2104,0.01573,0.50696
0.21337,-0.62023,-0.94708,-0.83682,-0.26553,-0.31276,0.070291,0.69658,-0.28772,0.14294,-0.53588,-2.2606,0.04426,0.022131
0.41829,0.39392,0.89762,0.8743,0.94554,-0.19934,0.28923,-0.18614,-0.088309,0.1252,-1.7036,-0.061708,-3.5257,0.026726
0.44723,0.55508,0.050196,-0.38109,-1.2413,-2.502,-2.1594,-1.8552,-1.681,-0.01803,1.546,-0.70683,-3.7703,0.20649
1.037,0.65637,0.49833,0.093052,0.38718,0.34898,-0.47727,-1.9261,-1.7411,-0.71262,0.90818,-0.48084,-5.7034,0.12902
-1.1452,-1.0826,-2.0255,-3.9449,-3.747,-3.9269,-4.0559,-2.293,-1.8144,-0.39614,4.0026,4.0293,-7.504,0.43735
