Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
0.90262,0.70204,0.39604,0.8154,1.3326,1.3027,0.93894,0.044569,-0.082541,-0.15498,0.33812,3.4184,3.3293,-0.72554
0.05243,-0.037647,-0.27152,-0.48699,0.066139,-0.017931,-1.0551,-1.0556,-1.6467,-0.5087,0.14113,1.4237,-2.7279,0.11995
-1.1917,-0.78033,-0.45398,-0.68664,0.058926,0.074145,0.76007,0.19679,0.32891,0.055016,-0.12468,-0.81583,2.4887,-0.75349
1.5541,0.95606,1.0196,-0.034181,-0.79819,-1.1705,-0.33466,1.5106,1.7603,0.20833,1.8466,-0.66906,3.758,0.078028
-0.26882,-0.52184,-0.46282,-1.0288,-0.12256,0.66232,0.63734,0.024559,-0.27817,0.18786,-0.067502,-1.9247,0.092836,-0.55047
-0.037789,-0.42863,-0.036229,-0.29927,0.34454,0.86779,0.51413,0.8592,-0.44752,-0.39882,-1.1815,0.95746,-1.9119,1
-1.2301,-1.1455,-0.76934,-0.39377,-0.33071,0.44194,1.1502,1.0658,0.35684,0.18195,0.49762,-1.9289,-3.4135,-0.34666
0.4892,-0.64104,0.45161,0.52558,0.78126,0.48959,0.32538,-0.063859,-0.56576,-0.44813,-0.63163,-0.47763,-2.9198,0.3552
0.76612,0.26641,0.51969,0.68222,0.83573,0.90404,1.0279,0.95247,2.117,1.9315,-0.54307,2.5571,2.2886,-0.37189
-0.79413,-0.82466,-0.52867,-0.05405,0.38307,0.15969,-0.15813,-0.23684,-1.1802,-0.34942,-0.1333,-0.87116,-0.9312,0.38936
-0.077675,-0.13983,0.82874,0.038923,0.1341,0.1686,1.1454,0.79483,1.4438,1.8022,-0.79319,2.2027,0.091794,0.012422
-0.0056293,-0.49991,-0.54891,-0.84907,-0.18128,-0.32449,-1.1049,-2.3528,-1.8796,-0.54379,0.77854,4.6426,-2.484,0.019022
0.48095,0.83698,0.43698,0.37335,-0.43491,-0.11195,-0.82561,-1.6839,-1.7449,-1.0132,-0.071552,-2.29,-0.45123,0.12849
0.51475,0.32083,-0.94039,-0.79981,-0.30688,-0.6159,-1.0152,-0.47269,0.47065,0.17418,0.54771,-1.1919,-1.4012,0.07337
-0.61752,-0.22784,-0.87881,-1.116,-2.0246,-2.3579,-2.2313,-0.66519,-0.42395,-0.28448,2.6216,5.1246,-3.0225,-0.031832
1.6199,1.5943,1.1725,1.1859,1.9323,0.72904,0.38772,0.036959,0.20052,-0.58049,-0.18458,-3.4434,0.21233,-0.046584
-0.27725,1.3941,-0.36436,-0.83601,-0.9648,-1.3937,-2.1535,-0.64851,-0.16597,0.21725,1.0443,0.61323,-2.8953,0.013587
-0.49153,-0.775,-0.69341,0.21543,0.17497,0.47061,-0.058703,-0.54554,-0.12565,-0.95846,0.21946,-1.2945,2.0371,-0.022127
0.6381,0.15132,-0.36626,-0.31371,0.12987,0.2229,-1.1845,-0.90968,-1.4553,-0.61447,-0.43453,-1.1882,0.39574,0.12461
2.0788,1.8794,1.8422,1.8551,1.4827,0.54605,0.4191,0.0092505,0.11975,-0.61363,-1.207,-1.9885,-2.98,-0.012034
4.049,4.0467,4.0706,3.905,2.5671,1.9566,2.0772,2.4525,2.182,0.49197,-2.5458,-3.7079,-7.6212,-0.044643
1.0546,0.22637,0.71959,1.1709,1.5126,1.7452,1.4304,-0.52246,0.25485,-0.18628,0.62632,-2.1496,-1.0133,-0.72554
-0.060747,0.0051998,-1.2685,-2.486,-2.8311,-4.2425,-2.8546,-1.9029,-1.1295,-0.48416,2.4901,1.195,-0.93044,0
-0.46553,0.096167,0.27982,0.11411,-0.70006,-0.39519,-0.12392,-0.45411,-0.78541,-0.34665,-0.49499,-3.047,1.1072,0.58734
-0.64439,0.7723,-0.22015,-1.4545,-1.4591,-1.8273,-1.3904,-1.2527,-1.2305,-0.83426,0.49626,-1.6435,-2.5556,0.041925
0.40697,0.38462,0.46551,0.96817,0.61307,1.2627,1.0824,0.50676,0.19069,-0.24676,0.21354,-1.5616,-2.3531,-0.90179
-0.99778,-1.9161,-1.0472,-1.3118,-0.56963,0.14741,-0.3127,-0.34976,-0.31976,-0.16437,0.60831,2.3882,-0.98777,-0.96739
-0.25817,-0.13704,-0.50998,-0.76274,-1.3095,-1.1249,0.18264,1.4814,0.79589,-0.31287,0.80118,1.375,-1.26,-0.093168
1.2465,0.83885,0.44445,0.69716,0.49522,0.1745,0.1533,1.0403,-0.00096371,0.32627,1.0673,-1.9461,1.211,0.041925
-0.1465,-0.89818,-1.0403,-0.77579,-0.50018,0.35311,0.32145,0.23555,-0.26426,-0.15308,0.25872,2.3458,0.23766,-0.022127
3.2328,1.7518,3.0099,2.9856,2.5559,0.89507,1.0479,0.43587,0.094514,-0.92549,-3.7,-3.8393,-13.495,0.087399
0.22843,-0.47107,-0.74804,-0.15995,-0.15089,-0.43479,-1.8977,-2.0947,-1.8429,-0.52888,0.92634,1.4374,3.3312,0.19565
0.042254,0.15781,0.27091,0.79461,0.12147,0.30273,1.043,1.4396,2.0247,4.2888,-0.64723,1.912,0.018255,0.065994
-0.72452,-0.66092,-0.26873,-0.55364,0.11252,0.36913,0.38334,-0.76548,-0.95242,-0.43482,0.43243,-0.48181,-3.4938,0.0050466
-1.3711,-1.2645,-1.3093,-1.291,-0.77892,-1.1157,0.89287,1.6203,1.2473,0.32337,1.2056,-1.2234,-2.5742,-0.11025
0.67291,0.66521,1.1802,1.0211,0.38535,0.59054,0.98832,-0.053807,0.098733,-0.53728,-2.8047,-0.83266,0.6689,0.23486
-0.14604,0.11111,0.14466,-0.2697,-0.89083,-0.6917,0.64072,1.0401,0.43689,-0.88155,-0.2817,-1.3358,-2.2925,0.3521
-0.65241,-0.49039,0.41989,-0.041793,0.14382,-0.0082212,1.2259,1.1032,0.86161,-0.58639,-0.071699,3.7612,2.55,0.49185
0.11482,-0.56806,-0.22863,-0.12385,0.34075,-0.27925,0.17452,0.1686,-0.38156,-0.20586,-0.45614,-0.44805,-0.50097,0.49185
0.042025,-0.91847,-0.60879,-0.646,-0.91862,-0.44166,-0.64696,-0.33759,-1.2004,-0.39441,0.058417,0.74539,0.18313,-0.12306
0.27241,-0.12765,0.49048,-0.12762,0.70302,0.45387,-0.12205,-0.31341,0.16735,-0.44297,-0.27629,0.51026,-0.54378,0.14713
-0.2954,0.040122,0.64497,0.75522,1.0075,0.72369,0.77726,-0.21256,0.7137,1.2227,-0.51172,0.34832,0.28882,-0.72554
