Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
0.96971,-0.21141,0.019567,-0.10499,0.49927,0.2194,-0.3761,-0.77941,-0.62888,0.11155,-0.063305,0.44952,0.9262,-0.98001
1.1291,1.7262,2.2533,1.9716,1.4918,0.83064,-0.30195,-0.35494,-0.15466,0.26529,-0.4729,-2.2837,-1.4468,0
0.58824,0.20883,0.26702,0.79249,0.98504,0.85893,-0.035307,-0.72672,-0.65232,0.28964,-0.67117,-0.78219,-3.295,0
0.85289,0.97132,-0.20933,0.81406,0.67885,0.47691,-0.038935,0.22225,-0.6778,-0.59072,0.4912,1.1601,2.414,0.31321
-1.9019,-1.2048,-1.103,-0.050817,1.118,0.61725,1.1381,1.8337,3.3922,4.211,0.56128,0.50147,-1.3378,0.095141
0.92341,1.2514,0.86153,0.13387,-0.86219,-0.87566,-1.3485,-1.5593,-1.4243,-0.43986,0.92463,-0.82501,4.5153,-0.73827
-0.29507,-0.38767,-0.34619,-1.1443,-0.26324,-0.22641,-1.5906,-1.1865,-0.023292,-0.46609,1.3481,-0.58655,-2.5073,-0.464
-0.76391,-0.85021,-0.76364,-0.26249,0.34147,1.0702,0.85177,1.4261,1.9811,2.8435,-1.0061,-1.7114,0.16878,-0.098599
0.78377,0.5542,0.12434,-0.1907,0.72834,0.6717,0.33046,-0.23217,-0.091793,-0.42126,-0.73012,0.5597,-2.2422,0.016716
-0.70121,-0.87801,-1.0525,-1.2836,-0.8176,-0.40282,-0.79448,-0.39673,0.2533,-0.74098,1.5894,2.0742,2.0737,-0.4565
-0.47703,-0.060028,-0.35581,-2.0008,-2.0451,-3.1675,-1.4822,-0.65674,-0.09735,0.21949,1.6492,-1.2319,0.17259,-0.82854
1.4846,0.77481,0.41542,0.23516,0.29314,0.56536,-0.71403,-0.85005,-0.83284,-0.72204,-0.56857,0.83751,0.91144,-0.79518
-2.169,-1.8077,-1.6884,-1.1686,-0.2962,-0.049213,0.5133,0.67402,2.2915,2.9229,0.38179,4.9122,-1.2818,0.087211
1.6366,2.3973,2.0846,2.1947,1.3806,1.3558,2.0729,2.0486,1.5065,-0.40802,-3.3526,-3.1537,-4.5226,0.24669
-0.9036,-1.3647,-1.1434,0.05071,0.23081,0.69354,0.57714,0.55903,1.8131,1.6144,-0.73036,-1.0064,-0.97139,-0.098599
-0.73352,-1.3651,-0.55818,-1.1825,-1.139,-0.1226,1.9787,1.4991,0.95432,0.0085213,-0.35863,-1.8843,1.6773,-0.14628
-0.12449,0.46158,0.25477,0.1821,0.21215,-0.109,-1.1072,-1.5017,-1.3433,-0.21732,0.91732,1.4064,0.98144,-0.44932
