Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
1.7753,1.7584,2.1288,1.5386,1.7567,1.2308,-0.17531,-0.5893,-1.0557,-0.33303,-2.2588,-4.2548,-8.366,-0.11798
0.77996,-0.65596,0.21335,0.85439,1.056,1.2508,1.3919,0.52629,-0.33637,-0.90855,-0.57216,-1.754,-1.2186,0.09885
0.2954,-0.62414,0.64406,-0.09028,0.44561,0.59254,0.65241,0.33429,-0.59129,-1.3501,-0.21392,-1.5201,-0.22025,-0.27742
1.2253,1.0087,0.58787,0.91167,0.97345,0.69882,-0.26795,-0.33799,-0.46055,-0.87066,-0.99134,-2.0631,-0.16015,0.079718
1.3455,1.5301,0.52724,1.1483,1.2886,1.5345,-0.36246,-0.39376,-1.0487,-0.50455,-1.6722,-1.2087,-2.6414,-0.09885
-0.42299,0.86623,0.74472,-0.036126,-1.1099,-1.3184,-1.1502,-1.4364,-1.6594,-0.73434,0.98968,0.8522,1.4497,-0.53251
-2.1856,-2.5245,-1.7032,-1.2046,-0.38548,0.35652,0.86717,1.4017,2.849,4.3242,-0.37131,0.38638,3.795,0.14668
1.0477,1.0682,2.2053,2.5665,2.2986,1.7911,0.085741,-0.65705,0.13486,-0.13337,-1.9233,-3.1211,-2.1331,1
-1.0987,0.49022,-0.11963,0.22241,0.47538,-0.52303,-1.029,-1.4705,-1.5148,-0.77558,0.31086,2.3739,-0.19631,-0.86733
-0.68858,-1.3182,-0.87939,-0.56776,-0.28429,-0.17853,1.2786,1.5632,2.1341,2.4803,-0.45865,-0.16178,1.4418,-0.169
-1.7499,-0.88633,-1.2563,-2.5749,-2.8679,-2.3616,-1.9647,-0.44596,0.24842,0.43681,2.1844,1.6154,-3.7324,-0.77804
1.0137,0.7857,1.2576,1.1368,0.73537,0.88564,1.8565,0.44663,0.50288,-1.1316,0.19454,1.8128,-1.1624,0.18813
0.73055,-0.12016,0.78917,1.2214,1.0692,0.93121,0.79629,-0.12243,-0.32828,-0.47491,-1.0382,-3.7053,3.0909,-0.022321
0.52173,1.6339,2.7435,2.2889,1.6689,1.2296,0.40875,0.3885,0.065669,-0.33675,-2.4165,-0.45509,-0.8053,0.80549
-1.1662,0.019254,0.77917,0.4014,1.6135,1.193,0.15404,0.29579,-0.040262,0.20217,0.29993,-0.0031231,-0.020759,-0.41772
