Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
-0.71424,-1.3175,-1.0141,-0.8036,0.11288,0.82504,0.097592,0.070118,-0.14911,-0.23277,-0.26938,-2.5315,2.0195,-0.049805
-0.19556,0.45632,0.15088,0.56079,0.62447,0.14091,-0.20739,0.17679,-0.79758,-0.63862,-0.97826,-1.8426,-0.0091022,0.15702
-0.28973,-0.02938,-0.23251,-0.29215,-0.082262,0.42972,0.56698,0.35301,0.71381,-0.41038,-0.65175,0.071239,0.66549,0.14622
-0.1877,-0.4174,-1.1417,-1.0571,-0.88218,-0.65351,-0.40861,-0.1196,0.10488,-0.12873,0.05014,2.1737,-0.35511,-0.090564
0.23842,0.21109,-1.8387,-2.3943,-2.5978,-3.363,-2.5832,0.1539,0.77089,-0.13457,1.18,4.5645,-1.3126,0.12355
-1.5351,-1.5046,-1.4532,-0.82542,-0.26986,0.41722,0.98428,0.79481,0.85367,0.29112,1.4012,0.48262,-3.5959,0.27005
0.099232,-0.076189,0.11415,0.17086,0.77272,0.69824,0.063403,-0.12635,-0.1373,-0.025327,0.41547,5.1316,3.6075,0.053759
0.56183,0.37081,0.64536,-0.099862,-0.75221,-0.80058,-0.068289,0.098293,0.74255,-0.31734,0.22653,-0.78789,2.8227,0.11495
-0.55014,-0.80121,-0.40509,-0.4824,0.32852,0.070801,0.46768,-0.64594,-0.51987,-0.76227,-0.097455,1.7532,-2.9595,0.1784
1.0199,1.5187,0.62945,0.27849,-0.89722,-1.5843,-1.1029,1.6557,1.3735,0.26439,2.1664,1.9872,5.968,0.1537
-0.58947,0.013894,-0.058939,-0.61765,-0.30653,-0.42351,-0.77027,-0.61675,-1.3444,-0.81802,-0.69181,-4.005,-1.7694,0.16253
0.31746,-0.53699,-0.27663,-0.15729,0.32909,0.31915,0.14125,0.015526,-1.6316,-0.91986,-1.0578,-2.5712,0.7611,0.041641
